English,Afrikaans
Addis Ababa,Addis Abeba
Alexandria,Alexandrië
Antwerp,Antwerpen
Ashkabat,Asjchabat
Athens,Athene
Baghdad,Bagdad
Baku,Bakoe
Bandung,Bandoeng
Belize City,Belize Stad
Berlin,Berlyn
Bishkek,Bisjkek
Brussels,Brussel
Bucharest,Boekarest
Budapest,Boedapest
Cairo,Kaïro
Central Coast,Centrale Kus
Cologne,Keulen
Copenhagen,Kopenhagen
Damascus,Damaskus
Djbouti,Djboeti
Dubai,Doebai
Dushanbe,Doesjanbe
Edinburgh,Edinburg
Geneva,Genua
Gold Coast,Goudkus
Gothenburg,Gotenburg
Guatemala City,Guatemala Stad
Hiroshima,Hirosjima
Ho Chi Minh City,Ho Chi Minh Stad
Istanbul,Istanboel
Jakarra,Djakarta
Jeddah,Djedda
Juba,Joeba
Kabul,Kaboel
Karachi,Karatsji
Kathmandu,Katmandoe
Khartoum,Khartoem
Kiev,Kief
Kuwait,Koeweit
Kyoto,Kioto
Lisbon,Lissabon
London,Londen
Marrakesh,Marrakesj
Mecca,Mekka
Mexico City,Meksiko Stad
Milan,Milaan
Mogadishu,Mogadisju
Moscow,Moskou
Munich,München
Nagoya,Nagoja
Naples,Napels
New Delhi,Nieu-Delhi
New Plymouth,Nieu-Plymouth
New York,Nieu-York
Panama City,Panama Stad
Paris,Parys
Port Sudan,Port Soedan
Prague,Praag
Pyongyang,Pjongjang
Quezon City,Quezon Stad
Riyadh,Riaad
Saint Petersburg,Sint Petersburg
Shanghai,Sjanghai
Singapore,Singapoer
Tashkent,Tasjkent
Tehran,Teheran
The Haag,Die Haag
Tokyo,Tokio
Venice,Venesië
Vienna,Wien
Vladivostok,Wladiwostok
Warsaw,Warskou
Yaounde,Jaunde
Yerevan,Jerevan
Yogyakarta,Jogjakarta
Yokohama,Jokohama
